Example flight number,Flight number used for lookup,Lookup status,Number of legs,First leg departure airport IATA,Last leg arrival airport IATA,Distance in kilometers
BA780,BA780,OK,1,LHR,ARN,1463.08
W61784,W61784,OK,1,OSL,GDN,783.4
W61354,W61354,OK,1,ORY,WAW,1368.63
W65034,W65034,OK,1,OSL,KRK,1250.1
ET1602,ET1602,FAIL,0,,,0
DL143,DL143,OK,1,AMS,SEA,7841.37
LX967,LX967,OK,1,BER,ZRH,650.05
TP1334,TP1334,OK,1,OPO,LGW,1277.88
TG0925,TG0925,FAIL,0,,,0
LH979,LH979,OK,1,DUB,FRA,1085.27
RK135V,"[""RK135"", ""RK0135"", ""RK10035""]",FAIL,0,,,0
SK7472,SK7472,OK,1,HER,OSL,2942.83
JTD770,JTD770,OK,1,TFS,NRK,4228.12
FR8251,FR8251,OK,1,FCO,MAD,1331.59
W61662,W61662,OK,1,DTM,GDN,792.66
LH1692,LH1692,OK,1,MUC,PRG,264.84
W61094,W61094,OK,1,DTM,KTW,811.18
LH1396,LH1396,OK,1,FRA,PRG,407.44
LH842,LH842,OK,1,FRA,BLL,637.09
W65034,W65034,OK,1,OSL,KRK,1250.1
AF1823,AF1823,OK,1,MUC,CDG,681.54
TP788,TP788,OK,1,LIS,ARN,2998.39
W65034,W65034,OK,1,OSL,KRK,1250.1
LH1689,LH1689,OK,1,PRG,MUC,264.84
KL6151,KL6151,FAIL,0,,,0
SK0268,SK0268,FAIL,0,,,0
BA778,BA778,OK,1,LHR,ARN,1463.08
KL590,KL590,OK,1,ACC,AMS,5215.23
LO4,LO4,OK,1,ORD,WAW,7520.97
VLNUVH,VLNUVH,FAIL,0,,,0
AF1823,AF1823,OK,1,MUC,CDG,681.54
W61029,W61029,OK,1,KTW,FNC,3526.21
FR4412,FR4412,OK,1,BVA,HEL,1879.78
W95126,W95126,OK,1,PMI,LTN,1390.85
LBBIJF,LBBIJF,FAIL,0,,,0
W61608,W61608,OK,1,LTN,GDN,1283.44
FR8201,FR8201,OK,1,STN,CPH,914.89
FR9881,FR9881,OK,1,ALC,WRO,1974.23
LH164,LH164,OK,1,FRA,LEJ,303.73
LH2519 LH1624,LH2519,OK,1,DUB,MUC,1381.59
W61594,W61594,OK,1,LIS,WAW,2750.22
AY1578,AY1578,OK,1,CDG,HEL,1896.45
FR3364,FR3364,OK,1,BER,KRK,505.6
FR1881,FR1881,OK,1,TSF,WRO,698.2
W61382,W61382,OK,1,CRL,WAW,1161.2
SK1455,SK1455,OK,1,CPH,CDG,1003.78
LO027,LO027,FAIL,0,,,0
DY140,DY140,OK,1,BGO,SVG,159.27
W61515,W61515,OK,1,WAW,TRF,1027.86
FR1932,FR1932,OK,1,WMI,LBA,1490.86
W61382,W61382,OK,1,CRL,WAW,1161.2
DY140,DY140,OK,1,BGO,SVG,159.27
